ID,generation,forecast_generation
15,0,0
15,0,0
15,0,0
15,0,0
15,0,0
15,0,0
15,0,0
15,0,0
15,0,0
15,0,0
15,0,0
15,0,0
15,0,0
15,4.5730944,4.2008617728
15,5.7786428,5.400043127
15,6.9044476,7.5571341628
15,7.9054464,7.6866088704
15,9.01265,8.79027472
15,9.635752,9.0139999768
15,10.0133936,9.6565448
15,10.447888,10.7867289068
15,10.6902026,10.38243668
15,10.8882784,10.7514223824
15,10.916526,9.0560213
15,10.7757448,10.6042212476
15,10.532325,9.8113425
15,10.0451848,10.422180476
15,9.310168,8.4837816
15,8.6066414,8.6095042974
15,7.4256092,7.57127504
15,5.77745,6.2187745492
15,4.7350752,5.13355512
15,3.2434712,3.685958808
15,2.0432832,1.94873376
15,0.9048256,1.6084193472
15,0.2645896,0.2742814888
15,0,0
15,0,0
15,0,0
15,0,0
15,0,0
15,0,0
15,0,0
15,0,0
15,0,0
15,0,0
15,0,0
15,0,0
16,0,0
16,0,0
16,0,0
16,0,0
16,0,0
16,0,0
16,0,0
16,0,0
16,0,0
16,0,0
16,0,0
16,0,0
16,0,0
16,4.3822248,4.0510062648
16,5.505122,5.144442605
16,6.580747,7.1778527908
16,7.53444,7.3177327624
16,8.6066414,8.315505376
16,9.183699,8.5456602972
16,9.522208,9.163073
16,9.8975136,10.1852921184
16,10.0754416,9.92609324
16,10.2391152,10.0345633584
16,10.2056788,8.5676618
16,10.0754808,10.0224100586
16,9.810612,9.19705944
16,9.349736,9.829258648
16,8.6793192,8.01738378
16,8.00071,8.0791927542
16,6.867875,7.0986356
16,5.2844048,5.7738498056
16,3.9394432,4.64140776
16,2.5136608,3.266424672
16,1.428354,1.62462042
16,0.6589808,1.4697820728
16,0.2551086,0.2506284972
16,0,0
16,0,0
16,0,0
16,0,0
16,0,0
16,0,0
16,0,0
16,0,0
16,0,0
16,0,0
16,0,0
16,0,0
17,0,0
17,0,0
17,0,0
17,0,0
17,0,0
17,0,0
17,0,0
17,0,0
17,0,0
17,0,0
17,0,0
17,0,0
17,0,0
17,4.5819312,4.2146950944
17,6.7924632,6.6433738808
17,7.8796534,5.9184667882
17,6.131787,8.647956038
17,9.361968,8.92303412
17,10.216056,9.694112512
17,11.0176208,10.1651368
17,11.2394492,11.4310634768
17,11.9419608,10.26698448
17,11.4763264,11.820870656
17,10.518084,12.1872582
17,11.5580824,11.9906885536
17,11.1754076,10.65615852
17,10.7184138,11.0607047736
17,9.8284854,8.85243858
17,8.7387314,9.1908031894
17,7.721217,6.72930616
17,6.2674358,6.7207632984
17,4.8243072,5.17786944
17,3.0317652,2.996178822
17,1.107876,1.85635296
17,0.9158006,0.9817581774
17,0.3697784,0.3548620528
17,0,0
17,0,0
17,0,0
17,0,0
17,0,0
17,0,0
17,0,0
17,0,0
17,0,0
17,0,0
17,0,0
17,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,1.0764104,0.86344817
18,1.5336574,1.1684252052
18,1.8985296,1.8782863352
18,2.2376136,2.0035606218
18,2.5030944,2.348234748
18,2.7063988,2.9067465812
18,2.87014,8.93692296
18,2.969739,2.899865784
18,2.9908242,10.21008008
18,2.990895,3.0198759642
18,2.9920088,10.4679171
18,2.9099996,2.9170882212
18,2.84016,9.1857024
18,2.6656726,1.6142268804
18,2.4320416,9.20910232
18,2.1972294,2.1925913202
18,2.0129106,7.8334536
18,1.8464358,1.7814844784
18,0.764967,5.2304528
18,0.1667164,0.2024059832
18,0.0873312,2.37004236
18,0.117555,0.04049043
18,0.1025024,0.0025679872
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
19,0,0
19,0,0
19,0,0
19,0,0
19,0,0
19,0,0
19,0,0
19,0,0
19,0,0
19,0,0
19,0,0
19,0,0
19,0,0
19,0.765248,0.627195739
19,1.3229216,0.9714235776
19,1.3003842,1.888793115
19,2.3206592,1.6272084416
19,2.4638862,2.5243406082
19,2.42182,2.6944998368
19,2.8786756,2.40942432
19,3.020267,3.1239954548
19,3.1329024,2.73612568
19,3.252115,3.2140529492
19,3.263624,2.8081035
19,3.253923,3.239324799
19,3.113325,2.4444504
19,1.8462714,2.9969349912
19,2.2474836,2.45276312
19,0.5317232,1.6587972164
19,0.659126,2.05875408
19,0.273828,1.07171235
19,0.351168,1.3474944
19,1.2362256,1.0139075136
19,0.7870852,0.52466726
19,0.2924272,0.29241066
19,0.0459584,0.0466055584
19,0,0
19,0,0
19,0,0
19,0,0
19,0,0
19,0,0
19,0,0
19,0,0
19,0,0
19,0,0
19,0,0
19,0,0
20,0,0
20,0,0
20,0,0
20,0,0
20,0,0
20,0,0
20,0,0
20,0,0
20,0,0
20,0,0
20,0,0
20,0,0
20,0,0
20,3.2633682,5.1491671214
20,5.6917196,5.80001338
20,7.7474192,7.2106544484
20,9.1396208,9.205994263
20,8.9931174,9.421164366
20,6.6339072,8.7777648768
20,11.089868,9.6251011
20,11.3160776,11.707792756
20,11.7724232,10.73884004
20,12.0157132,11.93428334
20,12.0250848,11.60578908
20,11.8731998,12.1659463506
20,11.5553152,5.64423288
20,11.0641748,10.6876698152
20,10.4132304,9.89792548
20,9.600576,8.661248676
20,8.3702844,7.99229908
20,6.883096,6.837497308
20,5.3639726,5.1933266
20,3.685836,3.570298604
20,1.9804162,2.25202992
20,0.925722,1.090784205
20,0.330752,0.336284672
20,0,0
20,0,0
20,0,0
20,0,0
20,0,0
20,0,0
20,0,0
20,0,0
20,0,0
20,0,0
20,0,0
20,0,0
21,0,0
21,0,0
21,0,0
21,0,0
21,0,0
21,0,0
21,0,0
21,0,0
21,0,0
21,0,0
21,0,0
21,0,0
21,0,0
21,4.524248,4.8824942736
21,6.9335162,5.2044126726
21,9.5424934,8.5591044416
21,11.042912,11.35635991
21,9.666983,12.104536264
21,6.872644,11.132053684
21,13.5100032,10.37544544
